order_id,user_id,product_name
1483,90,Organic Pink Lemonade Bunny Fruit Snacks
1483,90,Dark Chocolate Minis
1483,90,"Sparkling Water, Natural Mango Essenced"
1483,90,Peach-Pear Sparkling Water
1483,90,Organic Heritage Flakes Cereal
1483,90,Popped Salted Caramel Granola Bars
1483,90,"Healthy Grains Granola Bar, Vanilla Blueberry"
1483,90,Flax Plus Organic Pumpkin Flax Granola
1483,90,Sweet & Salty Nut Almond Granola Bars
1483,90,Cool Mint Chocolate Energy Bar
1483,90,Chocolate Chip Energy Bars
1483,90,Trail Mix Fruit & Nut Chewy Granola Bars
4595,66,Creme De Menthe Thins
4595,66,Milk Chocolate English Toffee Miniatures Candy Bars
4595,66,Baker's Pure Cane Ultrafine Sugar
4595,66,Plain Bagels
4595,66,Cinnamon Bread
7099,27,Revive Zero Vitamin Water
7099,27,VitaminWater Zero™ XXX Acai Blueberry Pomegranate
7099,27,Vitamin Water Zero Rise Orange
7099,27,Energy Tropical Citrus Vitamin Water Drink
7099,27,Zero Vitamin Water
7099,27,Vitamin Water Zero Squeezed Lemonade
7099,27,Total 2% Lowfat Greek Strained Yogurt with Peach
7099,27,Total 2% with Strawberry Lowfat Greek Strained Yogurt
7099,27,Total 0% Nonfat Greek Yogurt
7099,27,Total 0% Raspberry Yogurt
7099,27,Natural Artesian Water
7099,27,Original Turkey Jerky
7099,27,Teriyaki Turkey Jerky
8382,23,Mountain Spring Water
8382,23,"Clementines, Bag"
8382,23,Pineapple on the Bottom Greek Yogurt
8382,23,Pomegranate on the Bottom Non-Fat Greek Yogurt
8382,23,Original French Vanilla Yogurt
8382,23,Original Lowfat Lemon Burst Yogurt
8382,23,Jet-Dry Original Rinse Aid
8382,23,Jumbo Cotton Balls
8382,23,Hearty Grains 100% Whole Wheat English Muffins
14400,36,"Truffle, Sea Salt"
14400,36,Black Truffle
14400,36,1500 Pale Ale
19190,42,Wild Albacore Tuna No Salt Added
19190,42,Thin & Crispy Crust Four Cheese Pizza
19190,42,Original Chicken Patties
19190,42,Veggie Loaf & Mashed Potatoes Entrée
19190,42,Light in Sodium Country Cheddar Bowl
19190,42,Special Reserve Extra Sharp Cheddar Cheese
19256,13,Half & Half
19256,13,Whole Wheat Pita Bread Loaves
19256,13,Lentils
19256,13,Dark Brown Sugar
19256,13,Chick Peas Garbanzos
20042,75,Bag of Organic Bananas
20042,75,English Seedless Cucumber
20042,75,Penne Rigate
20042,75,Asparation/Broccolini/Baby Broccoli
20042,75,Organic Garlic
20042,75,Brussels Sprouts
20042,75,Gluten Free Sliced Mountain White Bread
20042,75,Unsweetened Vanilla Almond Milk
20042,75,2Chic Shampoo Brazilian Keratin & Argan Oil
20042,75,"Cheese, Sharp Cheddar"
20042,75,Organic Baby Spinach Salad
21889,71,Authentic French Brioche
21889,71,Petit Suisse Fruit
21889,71,Lettuce Medley
21889,71,Organic Reduced Fat 2% Milk
21889,71,Salted Butter
21889,71,Organic Heavy Whipping Cream
21889,71,Total 2% with Strawberry Lowfat Greek Strained Yogurt
21889,71,Globe Eggplant
21889,71,Organic Zucchini
21889,71,Four Fruits Preserves
21889,71,Premium Pure Cane Granulated Sugar
21889,71,Parsley
21889,71,Lemon Verbena Dish Soap
21889,71,Apricot-Raspberry Preserves
21889,71,Organic Broccoli
21889,71,Total 2% All Natural Low Fat 2% Milkfat Greek Strained Yogurt
21889,71,Fancy Shredded Cheese Italian Blend
21889,71,Uncured Slow Cooked Ham
21889,71,Organic Red Grapes
21889,71,Organic Bell Pepper
21889,71,Low Fat Vanilla Yogurt
23391,7,85% Lean Ground Beef
23391,7,Organic Apple Slices
23391,7,Apple Honeycrisp Organic
23391,7,Mexican Coffee
23391,7,Lactose Free Fat Free Milk
23391,7,Seedless Red Grapes
23391,7,Large Pineapple Chunks
23391,7,Vanilla Coffee Concentrate
23391,7,Large Alfresco Eggs
23391,7,Blood Oranges
23391,7,Uncured Genoa Salami
29758,67,Bag of Organic Bananas
29758,67,Soda
29758,67,Sparkling Mineral Water
29902,70,Cherry Nighttime Instant Teething Pain Relief Gel
29902,70,Plain Yogurt
29902,70,Cucumber Kirby
29902,70,Salted Butter
29902,70,Pretzel Crisps Original Deli Style Pretzel Crackers
31801,46,Chubby Hubby Ice Cream
31801,46,Krinkle Cut Salt & Fresh Ground Pepper Potato Chips
31801,46,Banana
